run_n,location,year,time_n,price_grain,cost_n_fert,cost_n_social,price_ratio,f_stat,t_stat,level,wald_l,wald_u,pl_l,pl_u,boot_l,boot_u,opt_method_l,opt_method_u
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,N/A,N/A
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.016069772300486285,0.12676660532026335,0.09999999999999998,173.34324356716058,181.53143524680547,173.9537182807478,181.03604717003788,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.06537412098756762,0.2556836339671376,0.19999999999999996,169.17969695066796,185.6949818632981,170.51698317620577,184.7977931122465,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.15144632851131723,0.3891610563743177,0.30000000000000004,164.86886636238444,190.00581245158162,167.07831926532015,188.80375954001488,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.28112730541723063,0.5302143944705564,0.4,160.3133615176036,194.56131729636246,163.5789208409965,193.15820127824117,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.46654891580609525,0.6830438592467808,0.5,155.3775310253232,199.49714778864285,159.94510789542716,198.014923646497,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.7296439487447882,0.8541919839474874,0.6,149.85007508722077,205.02460372674528,156.07174906903134,203.62380165430133,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.969292232239698,0.9845263977588935,0.667,145.64075213483216,209.2339266791339,153.26083860600312,208.01569314430085,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,1.113662836019053,1.0553022462779513,0.7,143.3549521305667,211.51972668339937,151.78432508053237,210.44458352948516,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,1.719858211274649,1.311433643950529,0.8,135.08284855084273,219.79183026312333,146.72945872292684,219.4967853509964,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,2.887032652296563,1.6991270265334972,0.9,122.56177598011655,232.3129028338495,139.899747753359,234.01449171263286,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,4.18296428905827,2.045229642132703,0.95,111.38393245345179,243.49074636051427,134.56453184928205,247.87817938741955,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,7.597663249954025,2.756385903670335,0.99,88.41619671209331,266.45848210187273,125.4722381351199,279.55273335178964,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,N/A,N/A
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.016069772300486285,0.12676660532026335,0.09999999999999998,173.34324356716058,181.53143524680547,173.9537182807478,181.03604717003788,173.67844978307608,179.91552413549124,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.06537412098756762,0.2556836339671376,0.19999999999999996,169.17969695066796,185.6949818632981,170.51698317620577,184.7977931122465,170.279630083969,183.16014087162603,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.15144632851131723,0.3891610563743177,0.30000000000000004,164.86886636238444,190.00581245158162,167.07831926532015,188.80375954001488,167.2651939822748,186.52073621361748,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.28112730541723063,0.5302143944705564,0.4,160.3133615176036,194.56131729636246,163.5789208409965,193.15820127824117,163.98746790445534,190.5053786012987,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.46654891580609525,0.6830438592467808,0.5,155.3775310253232,199.49714778864285,159.94510789542716,198.014923646497,160.45252398960116,194.66326501389565,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.7296439487447882,0.8541919839474874,0.6,149.85007508722077,205.02460372674528,156.07174906903134,203.62380165430133,156.8580670394306,199.47724799063033,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,0.969292232239698,0.9845263977588935,0.667,145.64075213483216,209.2339266791339,153.26083860600312,208.01569314430085,154.00558616545305,203.0905758613546,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,1.113662836019053,1.0553022462779513,0.7,143.3549521305667,211.51972668339937,151.78432508053237,210.44458352948516,152.66662355632704,205.21511505410524,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,1.719858211274649,1.311433643950529,0.8,135.08284855084273,219.79183026312333,146.72945872292684,219.4967853509964,147.54545319723923,212.78558211084052,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,2.887032652296563,1.6991270265334972,0.9,122.56177598011655,232.3129028338495,139.899747753359,234.01449171263286,140.11009911549198,224.47368421561862,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,4.18296428905827,2.045229642132703,0.95,111.38393245345179,243.49074636051427,134.56453184928205,247.87817938741955,134.6652430921434,235.12688502227581,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,1.0,0.0,0.0,0.0,7.597663249954025,2.756385903670335,0.99,88.41619671209331,266.45848210187273,125.4722381351199,279.55273335178964,126.78176579534056,257.7148899727194,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.0,0.0,0.0,,,,,,,N/A,N/A
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.016069772300486285,0.12676660532026335,0.09999999999999998,165.79337360862917,173.98156637975984,166.695893174049,173.17855262044796,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.06537412098756762,0.2556836339671376,0.19999999999999996,161.62982643713585,178.14511355125316,163.5418014009867,176.6121317437046,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.15144632851131723,0.3891610563743177,0.30000000000000004,157.31899527421868,182.45594471417033,160.38055288118483,180.26134800179858,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.28112730541723063,0.5302143944705564,0.4,152.76348982218911,187.0114501661999,157.15787610075267,184.21896964652296,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.46654891580609525,0.6830438592467808,0.5,147.8276586719626,191.9472813164264,153.80544148443983,188.6220098137008,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.7296439487447882,0.8541919839474874,0.6,142.3002019970504,197.4747379913386,150.22531271444296,193.6919046023446,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,0.969292232239698,0.9845263977588935,0.667,138.09087848355912,201.68406150482988,147.62271199842561,197.65015288492663,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,1.113662836019053,1.0553022462779513,0.7,135.80507817459653,203.96986181379248,146.25409552223437,199.8347801496438,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,1.719858211274649,1.311433643950529,0.8,127.53297349220131,212.2419664961877,141.56035984552798,207.9479773327331,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,2.887032652296563,1.6991270265334972,0.9,115.01189925241638,224.76304073597262,135.19662830864124,220.86056496959625,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,4.18296428905827,2.045229642132703,0.95,103.83405423574528,235.94088575264374,130.2056014964135,233.07050604434855,,,Nelder-Mead,Nelder-Mead
3,Minnesota,2012,Pre,0.157,0.44,0.0,2.8025477707006368,7.597663249954025,2.756385903670335,0.99,80.86631543278803,258.90862455560097,121.64979431541222,260.4836552415496,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.0,0.0,0.0,,,,,,,N/A,N/A
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.016069772300486285,0.12676660532026335,0.09999999999999998,151.04037816293987,158.535085249843,152.16826934702223,157.47698090777013,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.06537412098756762,0.2556836339671376,0.19999999999999996,147.22945585504485,162.34600755773803,149.56836549816862,160.26962256193403,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.15144632851131723,0.3891610563743177,0.30000000000000004,143.28372353410234,166.29173987868054,146.95151499233933,163.2228965193913,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.28112730541723063,0.5302143944705564,0.4,139.1140392154664,170.4614241973165,144.27225539367905,166.4084769940045,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.46654891580609525,0.6830438592467808,0.5,134.5962402657658,174.97922314701708,141.4726184992212,169.93078063889968,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.7296439487447882,0.8541919839474874,0.6,129.53692255403905,180.03854085874383,138.4683976391316,173.9575636939769,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,0.969292232239698,0.9845263977588935,0.667,125.68410085706341,183.89136255571947,136.27486499564864,177.0794074666007,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,1.113662836019053,1.0553022462779513,0.7,123.59189269176132,185.98357072102158,135.11806467338258,178.79381796157932,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,1.719858211274649,1.311433643950529,0.8,116.02038047659502,193.55508293618786,131.13221688770287,185.10677054382788,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,2.887032652296563,1.6991270265334972,0.9,104.55975827783378,205.0157051349491,125.6786637078203,194.9697499486729,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,4.18296428905827,2.045229642132703,0.95,94.32860268534253,215.24686072744035,121.35520180152014,204.07459622825743,,,Nelder-Mead,Nelder-Mead
4,Minnesota,2012,Pre,0.157,1.32,0.0,8.40764331210191,7.597663249954025,2.756385903670335,0.99,73.30607920695421,236.26938420582866,113.8211265260297,223.66245718270542,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.0,0.0,0.0,,,,,,,N/A,N/A
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.016069772300486285,0.12676660532026335,0.09999999999999998,136.6237860198691,142.7521875188641,137.61343386892747,141.80584396928208,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.06537412098756762,0.2556836339671376,0.19999999999999996,133.5076052654445,145.8683682732887,135.54310260323535,143.99256279016709,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.15144632851131723,0.3891610563743177,0.30000000000000004,130.28119073183944,149.09478280689376,133.4474732044996,146.29112560050066,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.28112730541723063,0.5302143944705564,0.4,126.87165126186888,152.50432227686431,131.28958809050482,148.7544694393267,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.46654891580609525,0.6830438592467808,0.5,123.17745940961021,156.198514129123,129.02086892818954,151.45866686724867,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.7296439487447882,0.8541919839474874,0.6,119.04046914582527,160.33550439290792,126.56992057272596,154.52499994925938,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,0.969292232239698,0.9845263977588935,0.667,115.89002737547688,163.48594616325633,124.76911501752754,156.88348589831895,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,1.113662836019053,1.0553022462779513,0.7,114.17923447753253,165.19673906120067,123.81532382548117,158.17168762768375,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,1.719858211274649,1.311433643950529,0.8,107.98802963509522,171.387943903638,120.50645133011773,162.8715323439887,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,2.887032652296563,1.6991270265334972,0.9,98.61671018953098,180.75926334920223,115.91556705478979,170.07452738004014,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,4.18296428905827,2.045229642132703,0.95,90.25072222730061,189.12525131143258,112.21329813371797,176.56808757476645,,,Nelder-Mead,Nelder-Mead
5,Minnesota,2012,Pre,0.157,2.2,0.0,14.012738853503185,7.597663249954025,2.756385903670335,0.99,73.06066224180124,206.31531129693195,105.58412915011098,190.0167114437496,,,Nelder-Mead,Nelder-Mead
6,Minnesota,2012,Pre,0.157,0.88,0.44,8.40764331210191,0.0,0.0,0.0,,,,,,,N/A,N/A
6,Minnesota,2012,Pre,0.157,0.88,0.44,8.40764331210191,0.016069772300486285,0.12676660532026335,0.09999999999999998,156.7790189591248,163.3788816079575,157.25711171637244,162.9722168731202,,,Nelder-Mead,Nelder-Mead
